item_id,item_name,base_unit,conflict,recipe_units_seen,note
lightspeed:20873427,Massenez Raspberry Framboise [Bottle],ml,false,mlx1,
lightspeed:20904019,Wa no Kokoro Yuzushu [Bottle],ml,false,mlx3,
lightspeed:20944710,Sapporo [Keg],ml,false,mlx3,
lightspeed:20961451,Cocchi Chinato [Bottle],ml,false,mlx1,
lightspeed:21003096,Jinzu Gin [Bottle],ml,false,mlx1,
lightspeed:21003110,Opihr Spiced Gin [Bottle],ml,false,mlx1,
lightspeed:21004391,Kunizakari Umeshu [Bottle],ml,false,mlx2,
lightspeed:21019883,Dehydrated Jalapeño Garnish,ml,false,mlx1,
lightspeed:21019999,Dehydrated Lime Garnish,g,false,gx17,
lightspeed:21020008,Flake Salt [6kg Box],g,false,gx20,
lightspeed:21020155,Coconut Oil Macro [Jar],g,false,gx1,
lightspeed:21020204,Edible Flower [Punnet],g,false,gx3,
lightspeed:21020214,Organic Vanilla Extract [500ml],ml,false,mlx5,
lightspeed:21020232,Coffee Beans [1kg],g,false,gx3,
lightspeed:21150832,Diplomatico Mantuano [Bottle],ml,false,mlx1,
lightspeed:21299452,Little Dragon Ginger Beer [Keg],ml,false,mlx2,
lightspeed:21319585,Hyoketsu Lemon [HG],each,false,eax1,
lightspeed:21364082,Fuji Blended Whisky [Bottle],ml,false,mlx1,
lightspeed:21712396,Gluten-free Base,each,false,eax1,
lightspeed:21749602,Whispering Angel Rosé - Bottle,ml,false,mlx4,
lightspeed:21750311,Jinro Chamisul - 360ml,ml,false,mlx2,
lightspeed:21750316,Jinro Strawberry - 360ml,ml,false,mlx1,
lightspeed:21750877,Kuromatsu Honjozo [900ml],ml,false,mlx2,
lightspeed:21939293,Little Dragon Can,each,false,eax1,
lightspeed:21999746,Havana 3yr [700ml],ml,false,mlx5,
lightspeed:21999769,Peroni 0%,each,false,eax1,
lightspeed:22001021,Year Wines Fiano - Bottle,ml,false,mlx2,
lightspeed:22081691,Grifter Serpents Kiss [Keg],ml,false,mlx2,
lightspeed:22169755,Hine Rare VSOP Cognac [700ml],ml,false,mlx1,
lightspeed:22253061,Nikka Black Whisky [700ml],ml,false,mlx2,
lightspeed:22267080,Hills Cider [Keg],ml,false,mlx2,
lightspeed:22296524,Hyoketsu Lemon [Keg],ml,false,mlx2,
lightspeed:22384136,Little Dragon Ginger Beer Can,each,false,eax1,
lightspeed:22442211,Café Patron [Bottle],ml,false,mlx1,
lightspeed:22442475,Plantation Original Dark [Bottle],ml,false,mlx2,
lightspeed:22442938,Grifter Big Sur IPA Can [HG],each,false,eax1,
lightspeed:22479979,Big Cheese - Shredded Mozzarella [2kg],g,false,gx134,
lightspeed:22480046,Prosciutto Sliced [500g],g,false,gx14,
lightspeed:22480081,Baby Spinach [1.5Kg],g,false,gx18,
lightspeed:22480095,Chorizo [1Kg],g,false,gx6,
lightspeed:22480103,Basil Pesto [1.9Kg],g,false,gx12,
lightspeed:22480112,Jalapenos [3Kg],g,false,gx13,
lightspeed:22480144,Char-grilled Caps [4.1Kg],g,false,gx13,
lightspeed:22480147,Zucchini [1Kg],g,false,gx7,
lightspeed:22480169,Harissa Prawns [7Kg],g,false,gx6,
lightspeed:22488943,Pineapple Cut Squid [5kg],g,false,gx2,
lightspeed:22488947,Lime Juice [2Lt],ml,false,mlx1,
lightspeed:22488995,Avocado [Tray],,true,mlx1|gx1,"consumed in g, ml — two things under one id, or a recipe typo"
lightspeed:22491319,J.J. Beef [Top Side Kg],g,false,gx6,
lightspeed:22491356,Cherry Tom [250g/Punnet],g,false,gx23,
lightspeed:22491471,Grilled Chicken [Kg],g,false,gx6,
lightspeed:22491666,Brown Onions [20kg],g,false,gx27,
lightspeed:22491679,Pineapple pizza [9Kg],g,false,gx18,
lightspeed:22491688,Mixed Olives [6Kg],g,false,gx12,
lightspeed:22491689,Bacon pizza [5Kg],g,false,gx12,
lightspeed:22491710,Roma Tomato [box],g,false,gx12,
lightspeed:22493903,Chives [bunch],g,false,gx1,
lightspeed:22507818,Chicken Wing [5KG],g,false,gx1,
lightspeed:22507943,Mint [bunch],,true,bunchx1,"only ever consumed in bunch, which has no declared conversion"
lightspeed:22508452,Liquid Nitrogen [10L],ml,false,mlx1,
lightspeed:22510270,Slaw,g,false,gx4,
lightspeed:22514063,Garlic Sauce Base,g,false,gx6,
lightspeed:22514068,Mushrooms Ragu,g,false,gx6,
lightspeed:22514075,Caramelised Onion,g,false,gx10,
lightspeed:22514089,Vegan Shredded Cheese [500g],g,false,gx8,
lightspeed:22514090,Walnuts [1kg],g,false,gx9,
lightspeed:22514091,Truffole Oil [250ml],ml,false,mlx6,
lightspeed:22514094,Baby Rocket,g,false,gx7,
lightspeed:22514113,Pizza Eggplant,g,false,gx6,
lightspeed:22514234,Vegetable Oil,ml,false,mlx5,
lightspeed:22514239,Pizza Yeast,g,false,gx1,
