supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20709997,Grey Goose 700ML,Grey Goose,60.0600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20709997
Lightspeed,20727770,Bickfords Raspberry Cordial 700ML,Bickfords Raspberry Cordial,4.6800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727770
Lightspeed,20710120,Fireball 700ML,Fireball,44.7600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20710120
Lightspeed,20727759,Pierre Ferrand Dry Curacao 700ML,Pierre Ferrand Dry Curacao,57.6500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727759
Lightspeed,20710158,Tempus Fugit Creme de Banane 700ML,Tempus Fugit Creme de Banane,59.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20710158
Lightspeed,20727779,Bittermen's Tiki Bitters 700ML,Bittermen's Tiki Bitters,26.0300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727779
Lightspeed,20727954,De Kuyper Butterscotch Schnapps 700ML,De Kuyper Butterscotch Schnapps,38.0800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727954
Lightspeed,20727968,De Kuyper Peach Schnapps 700ML,De Kuyper Peach Schnapps,38.1100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727968
Lightspeed,20727873,St. Felix Bitter Aperitivo 700ML,St. Felix Bitter Aperitivo,37.2800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20727873
Lightspeed,20728902,Casa Gheller Prosecco 750ML,Casa Gheller Prosecco,16.7300,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20728902
Lightspeed,20728346,Sibiliana Nero D'Avola 750ML,Sibiliana Nero D'Avola,16.3400,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20728346
Lightspeed,20729561,Joseph Cartron Creme de Peche 700ML,Joseph Cartron Creme de Peche,41.6200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20729561
Lightspeed,20786711,Kirin 50000ML,Kirin,444.6700,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20786711
Lightspeed,20729559,Massenez Framboise Raspberry 750ML,Massenez Framboise Raspberry,41.8200,,1,750,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20729559
Lightspeed,20729545,Michter's Bourbon 700ML,Michter's Bourbon,104.2600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20729545
Lightspeed,20961451,Cocchi Chinato 700ML,Cocchi Chinato,59.7300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20961451
Lightspeed,21019878,Jalapeños,Jalapeños,9.5700,can,1,1,each,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (each); ProductID 21019878
